X,Y,Temperature (K)
0.0,0.0,300.0
0.0,0.05,0.0
0.0,0.1,0.0
0.0,0.14,0.0
0.0,0.19,0.0
0.0,0.24,0.0
0.0,0.29,0.0
0.0,0.33,0.0
0.0,0.38,0.0
0.0,0.43,0.0
0.0,0.48,0.0
0.0,0.52,0.0
0.0,0.57,0.0
0.0,0.62,0.0
0.0,0.67,0.0
0.0,0.71,0.0
0.0,0.76,0.0
0.0,0.81,0.0
0.0,0.86,0.0
0.0,0.9,0.0
0.0,0.95,0.0
0.0,1.0,0.0
0.05,0.0,300.0
0.05,0.05,149.25563881442412
0.05,0.1,87.071846787649
0.05,0.14,59.25780575355312
0.05,0.19,43.91086123373728
0.05,0.24,34.17509730794991
0.05,0.29,27.410596194980528
0.05,0.33,22.410198517915003
0.05,0.38,18.5483723792516
0.05,0.43,15.469052663952695
0.05,0.48,12.953966622108572
0.05,0.52,10.860854150346098
0.05,0.57,9.09198762264299
0.05,0.62,7.57704329589848
0.05,0.67,6.263266625446198
0.05,0.71,5.10956002938802
0.05,0.76,4.0827780802866
0.05,0.81,3.1553109428523705
0.05,0.86,2.303441193454933
0.05,0.9,1.5061742395979985
0.05,0.95,0.7443611855761306
0.05,1.0,0.0
0.1,0.0,300.0
0.1,0.05,209.95061802620305
0.1,0.1,147.02291701659664
0.1,0.14,107.8868316896215
0.1,0.19,82.76011718419619
0.1,0.24,65.57943713510606
0.1,0.29,53.14242125579559
0.1,0.33,43.72260452551646
0.1,0.38,36.33553349498007
0.1,0.43,30.38579403528825
0.1,0.48,25.4930203329951
0.1,0.52,21.401842958067434
0.1,0.57,17.93287959231889
0.1,0.62,14.954804016998756
0.1,0.67,12.36775459083888
0.1,0.71,10.093097517213124
0.1,0.76,8.06687747913696
0.1,0.81,6.235470492410663
0.1,0.86,4.552582432974255
0.1,0.9,2.9770829834033856
0.1,0.95,1.4713609465499975
0.1,1.0,0.0
0.14,0.0,300.0
0.14,0.05,236.27457983379188
0.14,0.1,183.18201070988917
0.14,0.14,143.30508701178744
0.14,0.19,114.12078793702057
0.14,0.24,92.46630419528192
0.14,0.29,75.97100682820705
0.14,0.33,63.06264801014129
0.14,0.38,52.71910188242524
0.14,0.43,44.265362068185254
0.14,0.48,37.24260160288844
0.14,0.52,31.328333252988443
0.14,0.57,26.287961778683883
0.14,0.62,21.94497952022253
0.14,0.67,18.162238335167476
0.14,0.71,14.829884084119676
0.14,0.76,11.85736317976036
0.14,0.81,9.167957797559675
0.14,0.86,6.694912988212626
0.14,0.9,4.378575167515056
0.14,0.95,2.164173219199873
0.14,1.0,0.0
0.19,0.0,300.0
0.19,0.05,250.12682754595056
0.19,0.1,205.3257764545975
0.19,0.14,168.02991473402798
0.19,0.19,138.1147491612826
0.19,0.24,114.33009664686126
0.19,0.29,95.30215915017095
0.19,0.33,79.89361767988947
0.19,0.38,67.24750629343241
0.19,0.43,56.73584001778138
0.19,0.48,47.897846783028825
0.19,0.52,40.39031514356219
0.19,0.57,33.95203812976922
0.19,0.62,28.379354733224055
0.19,0.67,23.5094845059831
0.19,0.71,19.20910071963868
0.19,0.76,15.366366742043397
0.19,0.81,11.885250838717386
0.19,0.86,8.681339531391759
0.19,0.9,5.678635868795744
0.19,0.95,2.8070002774595166
0.19,1.0,0.0
0.24,0.0,300.0
0.24,0.05,258.3566360423091
0.24,0.1,219.50544560167904
0.24,0.14,185.2088089968294
0.24,0.19,155.97681190409125
0.24,0.24,131.48433793230205
0.24,0.29,111.06260041273137
0.24,0.33,94.00034519870506
0.24,0.38,79.66891917909984
0.24,0.43,67.5518305476354
0.24,0.48,57.23599062366514
0.24,0.52,48.39242134355616
0.24,0.57,40.75719276025437
0.24,0.62,34.11573243179778
0.24,0.67,28.29076458760661
0.24,0.71,23.133261348142046
0.24,0.76,18.515662067697914
0.24,0.81,14.326724707004077
0.24,0.86,10.467523628128397
0.24,0.9,6.848239784078079
0.24,0.95,3.3854885694543193
0.24,1.0,0.0
0.29,0.0,300.0
0.29,0.05,263.59279771802903
0.29,0.1,228.90249015939372
0.29,0.14,197.18425575703665
0.29,0.19,169.04877466859784
0.29,0.24,144.5658115544899
0.29,0.29,123.47979339951426
0.29,0.33,105.39584802154346
0.29,0.38,89.89344226026134
0.29,0.43,76.58055122024811
0.29,0.48,65.11259958484484
0.29,0.52,55.19430896610771
0.29,0.57,46.57471136499554
0.29,0.62,39.04026330729136
0.29,0.67,32.408113393874274
0.29,0.71,26.520206600485782
0.29,0.76,21.238326684636714
0.29,0.81,16.43996546159253
0.29,0.86,12.014853330636697
0.29,0.9,7.861991067597567
0.29,0.95,3.8870460576022468
0.29,1.0,0.0
0.33,0.0,300.0
0.33,0.05,267.02547910913376
0.33,0.1,235.21110104203618
0.33,0.14,205.4840762790755
0.33,0.19,178.41540562800026
0.33,0.24,154.22939163676196
0.33,0.29,132.8923139050476
0.33,0.33,114.21549761260009
0.33,0.38,97.93679207823045
0.33,0.43,83.77271272641784
0.33,0.48,71.4469720579781
0.33,0.52,60.703730613070505
0.33,0.57,51.312170010367154
0.33,0.62,43.06660183477931
0.33,0.67,35.78450238739993
0.33,0.71,29.30372467953476
0.33,0.76,23.47949857692641
0.33,0.81,18.181492186127134
0.33,0.86,13.29103737561572
0.33,0.9,8.698539841608453
0.33,0.95,4.301055747504751
0.33,1.0,0.0
0.38,0.0,300.0
0.38,0.05,269.2555890361659
0.38,0.1,239.3688633580436
0.38,0.14,211.06554972847226
0.38,0.19,184.85616403978463
0.38,0.24,161.01895896845073
0.38,0.29,139.63320183606984
0.38,0.33,120.63414277764647
0.38,0.38,103.86712791480609
0.38,0.43,89.13017189711346
0.38,0.48,76.20313046787503
0.38,0.52,64.8657119316357
0.38,0.57,54.90751688257465
0.38,0.62,46.13287208519394
0.38,0.67,38.36246330934382
0.38,0.71,31.433092596377502
0.38,0.76,25.196389420651588
0.38,0.81,19.516974933558892
0.38,0.86,14.27036886887986
0.38,0.9,9.34079912997763
0.38,0.95,4.618995288683812
0.38,1.0,0.0
0.43,0.0,300.0
0.43,0.05,270.6044757662617
0.43,0.1,241.90531575102347
0.43,0.14,214.51292913364276
0.43,0.19,188.89102100887501
0.43,0.24,165.33316635610095
0.43,0.29,143.97277262662104
0.43,0.33,124.81324566478295
0.43,0.38,107.76469139394908
0.43,0.43,92.67791032599024
0.43,0.48,79.37145520062877
0.43,0.52,67.6510096132233
